cond,block,white_point,gamma,chroma_gamma,saturation,value_in,hue_in_deg,chroma_out,lum_out,hue_out_deg
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,245,270.0,0.0,255.0,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,245,300.0,1.33,253.81,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,245,330.0,2.59,251.49,
huevalue_wp0.64_g1.0_k1.0_s1.0,main,0.64,1.0,1.0,1.0,40,0.0,0.9,187.84,
huevalue_wp0.64_g1.0_k1.0_s1.0,main,0.64,1.0,1.0,1.0,40,30.0,4.83,58.6,
huevalue_wp0.64_g1.0_k1.0_s1.0,main,0.64,1.0,1.0,1.0,40,60.0,5.19,56.25,
huevalue_wp0.64_g1.0_k1.0_s1.0,main,0.64,1.0,1.0,1.0,40,90.0,3.39,55.07,
huevalue_wp0.64_g1.0_k1.0_s1.0,main,0.64,1.0,1.0,1.0,40,120.0,0.98,26.09,
huevalue_wp0.64_g1.0_k1.0_s1.0,main,0.64,1.0,1.0,1.0,40,150.0,1.21,3.94,
huevalue_wp0.64_g1.0_k1.0_s1.0,main,0.64,1.0,1.0,1.0,40,180.0,1.56,4.86,
huevalue_wp0.64_g1.0_k1.0_s1.0,main,0.64,1.0,1.0,1.0,40,210.0,5.37,7.05,
